               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.019227,            0.010878,            0.014256,             0.96076,             0.96337,              0.9838,              0.7625,            0.010585,           0.0031098,           0.0030358,            0.003928,            0.003928,            0.003928
                  94,            0.023978,            0.011308,            0.014865,             0.96373,             0.96202,             0.98336,             0.77286,           0.0085387,           0.0030577,           0.0030255,            0.003862,            0.003862,            0.003862
                  95,            0.016711,            0.010998,            0.010405,              0.9752,             0.97253,             0.98439,             0.74259,           0.0091245,           0.0030666,            0.002837,            0.003796,            0.003796,            0.003796
                  96,            0.026439,            0.011402,             0.01219,             0.96962,             0.97705,             0.98543,             0.76079,           0.0096906,            0.003081,           0.0027457,             0.00373,             0.00373,             0.00373
                  97,            0.021085,            0.011579,            0.018466,             0.96062,             0.98365,             0.98347,              0.8152,           0.0069828,           0.0029999,           0.0026341,            0.003664,            0.003664,            0.003664
                  98,            0.017132,            0.011117,            0.010349,             0.95091,              0.9786,             0.98234,             0.76822,           0.0099663,           0.0029687,           0.0025137,            0.003598,            0.003598,            0.003598
                  99,            0.018528,            0.011775,            0.010835,             0.96414,              0.9899,             0.98548,             0.74827,            0.009062,             0.00295,           0.0023609,            0.003532,            0.003532,            0.003532
                 100,            0.019985,            0.010588,            0.011495,             0.96726,             0.98979,             0.98548,             0.78385,           0.0096485,            0.002924,           0.0023512,            0.003466,            0.003466,            0.003466
                 101,            0.021622,            0.011349,            0.014606,             0.95873,             0.97399,             0.99245,             0.76793,             0.01032,           0.0029684,           0.0023558,              0.0034,              0.0034,              0.0034
                 102,             0.01942,            0.011211,             0.01471,             0.96752,             0.96959,             0.98446,             0.78975,           0.0076209,           0.0029721,           0.0023191,            0.003334,            0.003334,            0.003334
                 103,            0.019049,            0.010436,            0.011162,             0.97064,             0.97022,             0.98444,             0.80146,           0.0078342,           0.0029768,           0.0021652,            0.003268,            0.003268,            0.003268
                 104,            0.016529,            0.010205,            0.010992,             0.97258,             0.97697,             0.98546,              0.7456,            0.009089,           0.0030081,           0.0020615,            0.003202,            0.003202,            0.003202
                 105,            0.022846,            0.010767,            0.011848,             0.97341,             0.98024,             0.98546,             0.68619,            0.011489,           0.0030253,           0.0018751,            0.003136,            0.003136,            0.003136
                 106,            0.017244,            0.011046,            0.007032,             0.97849,             0.98019,             0.98543,             0.80508,           0.0073655,           0.0029248,            0.001821,             0.00307,             0.00307,             0.00307
                 107,             0.01769,           0.0096173,           0.0095383,             0.97292,             0.98646,             0.98543,             0.80732,           0.0070027,            0.002942,           0.0017661,            0.003004,            0.003004,            0.003004
                 108,            0.016352,            0.010505,            0.010144,             0.97295,             0.98689,             0.98611,             0.79141,           0.0092124,           0.0029287,           0.0017414,            0.002938,            0.002938,            0.002938
                 109,            0.017937,            0.011191,             0.01221,             0.97259,              0.9899,             0.98444,              0.7943,           0.0082587,           0.0028796,           0.0016723,            0.002872,            0.002872,            0.002872
                 110,            0.020039,            0.011268,            0.013593,             0.96908,              0.9899,             0.98443,             0.82626,           0.0088755,           0.0028313,           0.0016801,            0.002806,            0.002806,            0.002806
                 111,             0.01608,            0.011111,           0.0099592,             0.96732,             0.98817,             0.98038,             0.82258,           0.0080239,           0.0027868,           0.0018075,             0.00274,             0.00274,             0.00274
                 112,            0.016094,            0.010201,           0.0089222,              0.9701,             0.98416,             0.98352,             0.78251,           0.0088961,            0.002776,           0.0017315,            0.002674,            0.002674,            0.002674
                 113,            0.015695,           0.0091196,           0.0084918,             0.96698,              0.9829,             0.98661,             0.82037,           0.0096356,           0.0026732,           0.0016118,            0.002608,            0.002608,            0.002608
                 114,            0.022611,            0.012408,            0.013959,             0.97244,             0.97442,             0.98661,             0.83362,           0.0082413,           0.0026178,           0.0015917,            0.002542,            0.002542,            0.002542
                 115,            0.020053,            0.011293,             0.01248,             0.96924,             0.97474,             0.98762,             0.80542,           0.0082957,           0.0026098,           0.0015617,            0.002476,            0.002476,            0.002476
                 116,            0.026061,           0.0096815,            0.015012,             0.96264,             0.97807,             0.98756,             0.81969,           0.0066227,            0.002595,           0.0015339,             0.00241,             0.00241,             0.00241
                 117,            0.015973,            0.010569,           0.0082309,             0.97147,             0.97218,              0.9845,             0.78609,           0.0079161,            0.002699,           0.0014693,            0.002344,            0.002344,            0.002344
                 118,            0.017195,            0.011273,             0.01047,             0.97031,             0.97401,             0.98551,             0.82502,           0.0069003,           0.0026667,           0.0014305,            0.002278,            0.002278,            0.002278
                 119,            0.017897,            0.011038,            0.012138,             0.98179,             0.96697,             0.98553,             0.82376,           0.0069874,           0.0026506,           0.0013321,            0.002212,            0.002212,            0.002212
                 120,            0.021664,            0.010904,            0.014472,             0.98448,             0.96538,             0.98553,             0.84167,           0.0074091,           0.0025749,           0.0013061,            0.002146,            0.002146,            0.002146
                 121,            0.017083,            0.010472,            0.010511,             0.98361,             0.96859,             0.98551,             0.83879,           0.0065685,           0.0025313,           0.0012454,             0.00208,             0.00208,             0.00208
